City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mahibadhoo,3.7833,72.9667,27.94,75,100,8.83,MV,1707680112
83,goundam,16.4145,-3.6708,25.91,7,0,2.67,ML,1707680112
84,gunjur,13.2019,-16.7339,29.04,48,0,7.2,GM,1707680113
85,saint-philippe,-21.3585,55.7679,26.77,88,43,4.78,RE,1707680113
86,akjoujt,19.6969,-14.4164,28.62,31,0,4.48,MR,1707680114
87,bandarbeyla,9.4942,50.8122,25.95,72,21,4.03,SO,1707680040
88,al kharijah,25.4514,30.5464,15.23,26,49,1.61,EG,1707680115
89,ksar el boukhari,35.8889,2.7491,9.42,74,75,3.09,DZ,1707680116
90,kingston,17.997,-76.7936,29.58,63,20,8.75,JM,1707679932
91,kavieng,-2.5744,150.7967,28.19,73,87,4.0,PG,1707680116
92,thompson,55.7435,-97.8558,-10.91,85,100,2.06,CA,1707680117
93,nemuro,43.3236,145.575,-5.51,73,64,0.63,JP,1707680117
94,sabana de torres,7.3915,-73.4957,35.34,37,17,1.78,CO,1707680118
95,bilibino,68.0546,166.4372,-32.94,100,100,1.51,RU,1707680118
96,azul,-36.777,-59.8585,33.07,38,51,3.55,AR,1707680119
97,kokpekty,48.75,82.4,-12.03,82,18,6.02,KZ,1707680120
98,dudinka,69.4058,86.1778,-34.07,97,29,0.89,RU,1707680120
99,ambon,-3.6954,128.1814,28.08,78,40,3.6,ID,1707680121
100,kivioli,59.3531,26.9711,-6.14,94,100,4.21,EE,1707680121
101,grytviken,-54.2811,-36.5092,5.17,85,22,4.68,GS,1707680122
102,usinsk,65.9939,57.5281,-31.63,100,97,1.34,RU,1707680122
103,chonchi,-42.6128,-73.8092,16.56,95,100,1.78,CL,1707679884
104,ninghai,29.2892,121.4247,5.68,85,0,1.27,CN,1707680053
105,cidreira,-30.1811,-50.2056,26.9,78,42,4.28,BR,1707679869
106,saraktash,51.7866,51.7866,-20.43,99,28,2.93,RU,1707680124
107,mineros,-17.1167,-63.2333,31.15,59,100,3.34,BO,1707680124
108,tumaco,1.7986,-78.8156,28.16,77,46,3.97,CO,1707680125
109,northam,51.0333,-4.2167,7.59,89,42,6.5,GB,1707680008
110,kremenets,50.0969,25.7246,8.26,79,100,3.92,UA,1707680126
111,dunedin,-45.8742,170.5036,13.22,72,100,1.34,NZ,1707680126
112,san juan,-31.5375,-68.5364,35.57,30,0,3.17,AR,1707680003
113,metlili chaamba,32.2667,3.6333,17.52,29,16,3.09,DZ,1707680127
114,lazaro cardenas,17.9583,-102.2,27.37,59,0,4.17,MX,1707679971
115,anadyr,64.75,177.4833,-23.72,84,75,5.0,RU,1707680128
116,petropavlovsk-kamchatsky,53.0452,158.6483,-17.53,81,0,6.0,RU,1707680117
117,namsos,64.4662,11.4957,-5.97,68,64,8.23,NO,1707680129
118,bamboo flat,11.7,92.7167,28.05,78,40,2.57,IN,1707680130
119,nichinan,31.6,131.3667,7.82,72,0,3.32,JP,1707680130
120,filadelfia,39.9523,-75.1638,10.03,64,100,1.54,US,1707679997
121,kerikeri,-35.2268,173.9474,14.39,88,46,1.72,NZ,1707679844
122,malango,-2.9627,119.9001,20.39,99,100,0.39,ID,1707680132
123,cockburn town,21.4612,-71.1419,25.98,50,40,5.14,TC,1707680132
124,igarka,67.4667,86.5833,-28.9,85,8,3.03,RU,1707680133
125,port mathurin,-19.6833,63.4167,27.27,84,100,7.93,MU,1707680058
126,aasiaat,68.7098,-52.8699,-24.62,99,99,5.53,GL,1707680084
127,susuman,62.7833,148.1667,-34.61,100,100,0.48,RU,1707680075
128,weno,7.4515,151.8468,26.97,83,75,4.12,FM,1707680066
129,mandvi,22.8333,69.3667,19.41,21,100,3.84,IN,1707680135
